Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6
RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U
-0.0,6.63669732479396e-36,0.227500110864639,0.0,0.0,0.180000007152557,-0.0,3.22166166916852e-36,0.227500110864639,0.0,0.0,0.180000007152557,-0.0,-6.63669732479396e-36,0.227500110864639,0.0,0.0,0.180000007152557,-0.0,-3.22166166916852e-36,0.227500110864639,0.0,0.0,0.180000007152557
-0.0,4.5787173967051e-37,0.225000113248825,0.0,0.0,0.200000002980232,-0.0,1.70880047553348e-36,0.225000113248825,0.0,0.0,0.200000002980232,-0.0,-4.5787173967051e-37,0.225000113248825,0.0,0.0,0.200000002980232,-0.0,-1.70880047553348e-36,0.225000113248825,0.0,0.0,0.200000002980232
-0.0,1.2451567090157e-37,0.222500115633011,0.0,0.0,0.219999998807907,-0.0,4.6469882094715e-37,0.222500115633011,0.0,0.0,0.219999998807907,-0.0,-1.2451567090157e-37,0.222500115633011,0.0,0.0,0.219999998807907,-0.0,-4.6469882094715e-37,0.222500115633011,0.0,0.0,0.219999998807907
0.0,1.34309043188268e-37,0.220000103116035,0.0,0.0,0.239999994635582,0.0,5.01248137696157e-37,0.220000103116035,0.0,0.0,0.239999994635582,-0.0,-1.34309043188268e-37,0.220000103116035,0.0,0.0,0.239999994635582,-0.0,-5.01248137696157e-37,0.220000103116035,0.0,0.0,0.239999994635582
-0.0,1.43848029356946e-37,0.217500105500221,0.0,0.0,0.259999990463257,-0.0,5.36848158813493e-37,0.217500105500221,0.0,0.0,0.259999990463257,-0.0,-1.43848029356946e-37,0.217500105500221,0.0,0.0,0.259999990463257,-0.0,-5.36848158813493e-37,0.217500105500221,0.0,0.0,0.259999990463257
-0.0,1.15941043986744e-35,0.215000107884407,0.0,0.0,0.280000001192093,-0.0,1.15941043986744e-35,0.215000107884407,0.0,0.0,0.280000001192093,-0.0,-1.15941043986744e-35,0.215000107884407,0.0,0.0,0.280000001192093,-0.0,-1.15941043986744e-35,0.215000107884407,0.0,0.0,0.280000001192093
-0.0,1.22778089055984e-35,0.212500110268593,0.0,0.0,0.300000011920929,-0.0,1.22778089055984e-35,0.212500110268593,0.0,0.0,0.300000011920929,-0.0,-1.22778089055984e-35,0.212500110268593,0.0,0.0,0.300000011920929,-0.0,-1.22778089055984e-35,0.212500110268593,0.0,0.0,0.300000011920929
-0.0,4.35639612645775e-35,0.210000097751617,0.0,0.0,0.319999992847443,-0.0,2.11473169977779e-35,0.210000097751617,0.0,0.0,0.319999992847443,-0.0,-4.35639612645775e-35,0.210000097751617,0.0,0.0,0.319999992847443,-0.0,-2.11473169977779e-35,0.210000097751617,0.0,0.0,0.319999992847443
-0.0,7.1784112402911e-37,0.207500100135803,0.0,0.0,0.340000003576279,-0.0,2.67901953356861e-36,0.207500100135803,0.0,0.0,0.340000003576279,-0.0,-7.1784112402911e-37,0.207500100135803,0.0,0.0,0.340000003576279,-0.0,-2.67901953356861e-36,0.207500100135803,0.0,0.0,0.340000003576279
-0.0,0.0,0.205000102519989,0.0,0.0,0.360000014305115,-0.0,0.0,0.205000102519989,0.0,0.0,0.360000014305115,-0.0,0.0,0.205000102519989,0.0,0.0,0.360000014305115,-0.0,0.0,0.205000102519989,0.0,0.0,0.360000014305115
0.0,7.82960651967382e-37,0.202500104904175,0.0,0.0,0.379999995231628,0.0,2.92204890105168e-36,0.202500104904175,0.0,0.0,0.379999995231628,0.0,-7.82960651967382e-37,0.202500104904175,0.0,0.0,0.379999995231628,0.0,-2.92204890105168e-36,0.202500104904175,0.0,0.0,0.379999995231628
-0.0,8.13994144069951e-37,0.200000107288361,0.0,0.0,0.400000005960464,-0.0,3.03786763163698e-36,0.200000107288361,0.0,0.0,0.400000005960464,-0.0,-8.13994144069951e-37,0.200000107288361,0.0,0.0,0.400000005960464,-0.0,-3.03786763163698e-36,0.200000107288361,0.0,0.0,0.400000005960464
0.0,8.44010181383543e-37,0.197500094771385,0.0,0.0,0.419999986886978,0.0,3.14988900032939e-36,0.197500094771385,0.0,0.0,0.419999986886978,0.0,-8.44010181383543e-37,0.197500094771385,0.0,0.0,0.419999986886978,0.0,-3.14988900032939e-36,0.197500094771385,0.0,0.0,0.419999986886978
