Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.1,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.2,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.5,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6,Node CEINST.6
RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U,RF,RF,RF,U,U,U
0.0,0.0,0.225112557411194,0.0,0.0,0.200000002980232,-0.0,0.0,0.225112557411194,0.0,0.0,0.200000002980232,0.0,0.0,0.225112557411194,0.0,0.0,0.200000002980232,0.0,0.0,0.225112557411194,0.0,0.0,0.200000002980232
-0.0,1.24577899763773e-37,0.222611308097839,0.0,0.0,0.219999998807907,-0.0,4.64931055339046e-37,0.222611308097839,0.0,0.0,0.219999998807907,-0.0,-1.24577899763773e-37,0.222611308097839,0.0,0.0,0.219999998807907,-0.0,-4.64931055339046e-37,0.222611308097839,0.0,0.0,0.219999998807907
-0.0,1.34376159779515e-37,0.220110058784485,0.0,0.0,0.239999994635582,-0.0,5.01498667440803e-37,0.220110058784485,0.0,0.0,0.239999994635582,-0.0,-1.34376159779515e-37,0.220110058784485,0.0,0.0,0.239999994635582,-0.0,-5.01498667440803e-37,0.220110058784485,0.0,0.0,0.239999994635582
-2.40741243048404e-35,9.88914253926057e-36,0.21760880947113,0.0,0.0,0.259999990463257,-9.62964972193618e-35,7.13676671264271e-36,0.21760880947113,0.0,0.0,0.259999990463257,-9.62964972193618e-35,-9.88914253926057e-36,0.21760880947113,0.0,0.0,0.259999990463257,-3.85185988877447e-34,-7.13676671264271e-36,0.21760880947113,0.0,0.0,0.259999990463257
-0.0,1.53209185145307e-37,0.215107560157776,0.0,0.0,0.280000001192093,0.0,5.71784435295022e-37,0.215107560157776,0.0,0.0,0.280000001192093,-0.0,-1.53209185145307e-37,0.215107560157776,0.0,0.0,0.280000001192093,0.0,-5.71784435295022e-37,0.215107560157776,0.0,0.0,0.280000001192093
-0.0,1.03370177968398e-35,0.21260629594326,0.0,0.0,0.300000011920929,-0.0,5.01791375148187e-36,0.21260629594326,0.0,0.0,0.300000011920929,-0.0,-1.03370177968398e-35,0.21260629594326,0.0,0.0,0.300000011920929,-0.0,-5.01791375148187e-36,0.21260629594326,0.0,0.0,0.300000011920929
0.0,6.84096825652499e-37,0.210105046629906,0.0,0.0,0.319999992847443,0.0,2.55308401101105e-36,0.210105046629906,0.0,0.0,0.319999992847443,-0.0,-6.84096825652499e-37,0.210105046629906,0.0,0.0,0.319999992847443,-0.0,-2.55308401101105e-36,0.210105046629906,0.0,0.0,0.319999992847443
-0.0,2.87279942574391e-36,0.207603797316551,0.0,0.0,0.340000003576279,-0.0,1.07214332916442e-35,0.207603797316551,0.0,0.0,0.340000003576279,-0.0,-2.87279942574391e-36,0.207603797316551,0.0,0.0,0.340000003576279,-0.0,-1.07214332916442e-35,0.207603797316551,0.0,0.0,0.340000003576279
-0.0,7.51284894331868e-37,0.205102548003197,0.0,0.0,0.360000014305115,-0.0,2.80383347925611e-36,0.205102548003197,0.0,0.0,0.360000014305115,-0.0,-7.51284894331868e-37,0.205102548003197,0.0,0.0,0.360000014305115,-0.0,-2.80383347925611e-36,0.205102548003197,0.0,0.0,0.360000014305115
0.0,-0.0,0.202601298689842,0.0,0.0,0.379999995231628,0.0,-0.0,0.202601298689842,0.0,0.0,0.379999995231628,0.0,-0.0,0.202601298689842,0.0,0.0,0.379999995231628,0.0,-0.0,0.202601298689842,0.0,0.0,0.379999995231628
0.0,0.0,0.200100049376488,0.0,0.0,0.400000005960464,0.0,0.0,0.200100049376488,0.0,0.0,0.400000005960464,0.0,0.0,0.200100049376488,0.0,0.0,0.400000005960464,0.0,0.0,0.200100049376488,0.0,0.0,0.400000005960464
-0.0,5.3801136657938e-35,0.197598800063133,0.0,0.0,0.419999986886978,-0.0,2.61167638486975e-35,0.197598800063133,0.0,0.0,0.419999986886978,-0.0,-5.3801136657938e-35,0.197598800063133,0.0,0.0,0.419999986886978,-0.0,-2.61167638486975e-35,0.197598800063133,0.0,0.0,0.419999986886978
0.0,8.7344507219801e-37,0.195097550749779,0.0,0.0,0.439999997615814,0.0,3.25974111415747e-36,0.195097550749779,0.0,0.0,0.439999997615814,0.0,-8.7344507219801e-37,0.195097550749779,0.0,0.0,0.439999997615814,0.0,-3.25974111415747e-36,0.195097550749779,0.0,0.0,0.439999997615814
0.0,-0.0,0.192596301436424,0.0,0.0,0.46000000834465,0.0,-0.0,0.192596301436424,0.0,0.0,0.46000000834465,0.0,-0.0,0.192596301436424,0.0,0.0,0.46000000834465,0.0,-0.0,0.192596301436424,0.0,0.0,0.46000000834465
