Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
-5.53446177775641e-14,-2.08826012038088e-14,0.710000216960907,0.0,0.0,0.579999983310699
-1.01810920805079e-13,-2.43208231331948e-15,0.70000022649765,0.0,0.0,0.600000023841858
4.26395030395099e-15,-1.27363397606217e-14,0.690000236034393,0.0,0.0,0.620000004768372
-5.54382928452668e-14,3.34975103211121e-14,0.680000245571136,0.0,0.0,0.639999985694885
-4.26811364029334e-14,1.1816936318354e-14,0.67000025510788,0.0,0.0,0.660000026226044
-3.70155295303931e-14,-1.46271883494364e-14,0.660000264644623,0.0,0.0,0.680000007152557
3.05311331771918e-15,2.86819179518005e-14,0.650000274181366,0.0,0.0,0.699999988079071
5.41702099843278e-14,3.47881445872389e-14,0.640000283718109,0.0,0.0,0.720000028610229
2.47822595778047e-14,-9.21138165743685e-15,0.630000293254852,0.0,0.0,0.740000009536743
5.45744005542304e-14,-3.54074408681626e-14,0.620000302791595,0.0,0.0,0.759999990463257
1.31838984174237e-14,7.02216063075412e-15,0.610000312328339,0.0,0.0,0.779999971389771
1.08073272553355e-14,-2.82256856776186e-14,0.600000321865082,0.0,0.0,0.800000011920929
-4.91100216049034e-14,-2.38351005599213e-15,0.590000331401825,0.0,0.0,0.819999992847443
4.02768096652295e-14,2.24299745443801e-15,0.580000340938568,0.0,0.0,0.839999973773956
-7.89888987551279e-14,4.502821726593e-14,0.570000350475311,0.0,0.0,0.860000014305115
2.78093520433842e-14,-5.21284404531031e-15,0.560000360012054,0.0,0.0,0.879999995231628
-3.80893233620228e-14,3.1485231088979e-15,0.550000369548798,0.0,0.0,0.899999976158142
-4.75383621356684e-14,3.55427492992888e-14,0.540000379085541,0.0,0.0,0.920000016689301
-7.52280182592102e-14,2.14724071856409e-14,0.530000388622284,0.0,0.0,0.939999997615814
-2.89854945600965e-14,5.33722371853784e-14,0.520000398159027,0.0,0.0,0.959999978542328
5.32334593073003e-14,-1.29531801951188e-14,0.51000040769577,0.0,0.0,0.980000019073486
-8.90607032566493e-15,3.54057061446866e-15,0.500000417232513,0.0,0.0,1.0
6.26981105922297e-14,-3.43995665286201e-15,0.490000426769257,0.0,0.0,1.01999998092651
9.36750677027476e-15,5.13998565931928e-15,0.480000436306,0.0,0.0,1.03999996185303
-2.53391058135932e-14,-1.87853205213528e-14,0.470000445842743,0.0,0.0,1.05999994277954
2.16840434497101e-15,-9.36056787637085e-15,0.460000455379486,0.0,0.0,1.08000004291534
-6.39228253662694e-14,4.80240847089419e-14,0.450000435113907,0.0,0.0,1.10000002384186
-2.84321177712599e-14,-7.84788900531908e-15,0.44000044465065,0.0,0.0,1.12000000476837
-5.28709021008211e-14,1.31249178192405e-14,0.430000454187393,0.0,0.0,1.13999998569489
-7.92942100868999e-15,1.76247905159244e-15,0.420000463724136,0.0,0.0,1.1599999666214
-8.60422844084496e-15,-1.81243908770057e-14,0.410000443458557,0.0,0.0,1.17999994754791
-3.4035274598665e-14,-2.99031632788882e-14,0.4000004529953,0.0,0.0,1.20000004768372
1.79856129989275e-14,1.52274026721244e-14,0.390000462532043,0.0,0.0,1.22000002861023
-5.04318808935977e-14,-3.34021005299334e-14,0.380000442266464,0.0,0.0,1.24000000953674
-1.41709560752545e-14,-1.08055925318595e-14,0.370000451803207,0.0,0.0,1.25999999046326
8.58861592956117e-15,2.29018193298458e-14,0.360000461339951,0.0,0.0,1.27999997138977
1.22651888645464e-13,-4.07313072159354e-14,0.350000441074371,0.0,0.0,1.29999995231628
5.98826543907194e-15,2.08843359272848e-14,0.340000450611115,0.0,0.0,1.32000005245209
