Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
13314.7890625,5.6843418860808e-14,-6651.7880859375,0.0,0.0,-0.600000023841858
13264.9775390625,-1.90993887372315e-11,-6742.06005859375,0.0,0.0,-0.620000004768372
13197.7431640625,5.96855898038484e-12,-6827.85107421875,0.0,0.0,-0.639999985694885
13111.6103515625,-5.40012479177676e-13,-6908.98828125,0.0,0.0,-0.660000026226044
13006.3447265625,-9.49285094975494e-12,-6985.27978515625,0.0,0.0,-0.680000007152557
12883.40234375,6.08224581810646e-12,-7056.953125,0.0,0.0,-0.699999988079071
12743.912109375,1.16529008664656e-11,-7123.9716796875,0.0,0.0,-0.720000028610229
12584.9833984375,9.26547727431171e-12,-7185.755859375,0.0,0.0,-0.740000009536743
12407.9833984375,-4.71800376544707e-12,-7242.13232421875,0.0,0.0,-0.759999990463257
12213.2265625,-1.13686837721616e-13,-7293.041015625,0.0,0.0,-0.779999971389771
11999.3046875,-7.27595761418343e-12,-7337.630859375,0.0,0.0,-0.800000011920929
11762.74609375,1.63140612130519e-11,-7374.833984375,0.0,0.0,-0.819999992847443
11502.4140625,-1.53477230924182e-12,-7403.810546875,0.0,0.0,-0.839999973773956
11209.74609375,2.1032064978499e-12,-7421.66357421875,0.0,0.0,-0.860000014305115
10880.4892578125,-1.71098690771032e-11,-7424.6025390625,0.0,0.0,-0.879999995231628
10497.6162109375,-4.71800376544707e-12,-7414.46826171875,0.0,0.0,-0.899999976158142
10086.0966796875,1.35287336888723e-11,-7415.060546875,0.0,0.0,-0.920000016689301
9670.822265625,1.20508047984913e-11,-7425.66162109375,0.0,0.0,-0.939999997615814
9254.849609375,-9.54969436861575e-12,-7441.10791015625,0.0,0.0,-0.959999978542328
8837.22265625,-7.33280103304423e-12,-7458.48828125,0.0,0.0,-0.980000019073486
8411.8994140625,1.77919901034329e-11,-7475.88134765625,0.0,0.0,-1.0
7984.4326171875,-1.13686837721616e-12,-7493.84130859375,0.0,0.0,-1.01999998092651
7553.20849609375,-2.04636307898909e-12,-7511.607421875,0.0,0.0,-1.03999996185303
7117.884765625,1.13686837721616e-12,-7529.06396484375,0.0,0.0,-1.05999994277954
6679.33154296875,2.39310793404002e-11,-7546.14111328125,0.0,0.0,-1.08000004291534
6236.88232421875,1.70530256582424e-11,-7562.685546875,0.0,0.0,-1.10000002384186
5791.423828125,2.33058017329313e-12,-7578.63916015625,0.0,0.0,-1.12000000476837
5342.505859375,-3.35376171278767e-12,-7594.10498046875,0.0,0.0,-1.13999998569489
4891.41259765625,1.33013600134291e-11,-7609.01123046875,0.0,0.0,-1.1599999666214
4436.70654296875,2.00088834390044e-11,-7623.1904296875,0.0,0.0,-1.17999994754791
3979.61767578125,-8.46966941026039e-12,-7636.93017578125,0.0,0.0,-1.20000004768372
3520.18286132813,1.72803993336856e-11,-7650.02587890625,0.0,0.0,-1.22000002861023
3057.39916992188,-2.97859514830634e-11,-7662.32275390625,0.0,0.0,-1.24000000953674
2592.60009765625,1.54614099301398e-11,-7674.20068359375,0.0,0.0,-1.25999999046326
2126.2666015625,-6.02540239924565e-12,-7685.6318359375,0.0,0.0,-1.27999997138977
1657.28930664063,1.89606907952111e-09,-7696.333984375,0.0,0.0,-1.29999995231628
1185.7294921875,-1.26419763546437e-10,-7706.3798828125,0.0,0.0,-1.32000005245209
712.842468261719,3.97335497837048e-11,-7716.0869140625,0.0,0.0,-1.3400000333786
238.606521606445,4.1438852349529e-11,-7725.353515625,0.0,0.0,-1.36000001430511
